Simulation,START_NO_GROUND,GAP_TOO_WIDE,WALL_TOO_HIGH
100,46,30,0
200,54,23,1
300,18,4,4
400,13,4,7
500,11,9,6
600,9,6,4
700,8,3,3
800,6,8,6
900,13,5,6
1000,15,11,4
1100,11,0,10
1200,8,10,5
1300,9,6,2
1400,15,10,1
1500,10,7,0
1600,6,10,1
1700,8,10,2
1800,9,3,0
1900,5,2,0
2000,0,2,0
2100,3,1,1
2200,9,3,0
2300,17,16,0
2400,6,12,2
2500,8,14,2
2600,8,12,0
2700,13,15,1
2800,7,6,2
2900,11,6,0
3000,19,10,0
3100,13,8,2
3200,12,15,3
3300,11,20,0
3400,14,10,0
3500,7,4,0
3600,15,18,2
3700,1,17,4
3800,8,11,0
3900,11,11,0
4000,12,12,3
4100,14,6,0
4200,13,9,0
4300,12,14,2
4400,12,13,7
4500,15,11,5
4600,9,14,6
4700,23,13,2
4800,12,10,5
4900,7,17,2
5000,2,14,1
5100,13,10,6
5200,6,11,3
5300,12,7,2
5400,14,14,4
5500,8,14,3
5600,4,9,3
5700,1,1,0
5800,2,7,4
5900,2,8,1
6000,8,19,0
6100,4,16,0
6200,5,14,0
6300,5,17,0
6400,17,9,0
6500,9,8,0
6600,9,4,0
6700,6,7,1
6800,9,13,8
6900,7,11,2
7000,4,13,0
7100,4,3,0
7200,3,5,0
7300,21,17,0
7400,3,8,0
7500,13,13,1
7600,9,7,1
7700,10,27,0
7800,8,15,3
7900,9,14,0
8000,10,14,0
8100,4,17,0
8200,11,13,0
8300,13,12,0
8400,21,7,0
8500,4,7,1
8600,15,21,0
8700,6,13,0
8800,19,16,0
8900,8,16,4
9000,21,12,3
9100,7,15,0
9200,4,8,0
9300,4,8,0
9400,3,12,0
9500,9,16,0
9600,10,18,0
9700,12,12,4
9800,1,4,6
9900,5,12,0
10000,5,8,1
