Simulation,Elite Map Coverage
100,0.5348955680081509
200,0.738665308201732
300,1.706571574121243
400,2.3178807947019866
500,2.6999490575649516
600,3.3112582781456954
700,4.049923586347427
800,4.737646459500764
900,5.272542027508915
1000,5.501782985226694
1100,6.0112073357106475
1200,6.5206316861946
1300,7.1064696892511465
1400,7.28476821192053
1500,7.590422822210901
1600,7.743250127356088
1700,7.997962302598065
1800,8.125318390219052
1900,8.329088130412634
2000,8.354559347936831
2100,8.48191543555782
2200,8.609271523178808
2300,9.042282221090169
2400,9.322465613856343
2500,9.500764136525726
2600,9.653591441670912
2700,9.730005094243504
2800,9.806418746816098
2900,9.882832399388692
3000,9.959246051961284
